Address:,USB0::0x2A8D::0x0396::CN60117105::0::INSTR,,Analog Channels,,,
Model:,DSOX1204G,,Time (s),1 (VOLT),3 (VOLT),
,,,0.151689600254,0.40201011300087,-0.403266414999962,
,,,0.151798100471,0.40201011300087,-0.403266414999962,
,,,0.151906600688,0.40201011300087,-0.604271441698074,
,,,0.152015100905,0.40201011300087,-0.604271441698074,
,,,0.152123601122,0,-0.604271441698074,
,,,0.152232101339,0,-0.604271441698074,
,,,0.152340601556,0,-0.403266414999962,
,,,0.152449101773,-0.40201011300087,-0.403266414999962,
,,,0.15255760199,0,-0.604271441698074,
,,,0.152666102207,0.40201011300087,-0.805276468396187,
,,,0.152774602424,0,-0.604271441698074,
,,,0.152883102641,0.40201011300087,-0.403266414999962,
,,,0.152991602858,0,-0.604271441698074,
,,,0.153100103075,0,-0.604271441698074,
,,,0.153208603292,0,-0.604271441698074,
,,,0.153317103509,0,-0.604271441698074,
,,,0.153425603726,0.40201011300087,-0.604271441698074,
,,,0.153534103943,0.40201011300087,-0.604271441698074,
,,,0.15364260416,0,-0.403266414999962,
,,,0.153751104377,0.40201011300087,-0.604271441698074,
,,,0.153859604594,0,-0.604271441698074,
,,,0.153968104811,0,-0.403266414999962,
,,,0.154076605028,0,-0.604271441698074,
,,,0.154185105245,0,-0.604271441698074,
,,,0.154293605462,0.40201011300087,-0.604271441698074,
,,,0.154402105679,0,-0.604271441698074,
,,,0.154510605896,0.40201011300087,-0.604271441698074,
,,,0.154619106113,0.40201011300087,-0.604271441698074,
,,,0.15472760633,0.40201011300087,-0.403266414999962,
,,,0.154836106547,0.40201011300087,-0.604271441698074,
,,,0.154944606764,0.40201011300087,-0.403266414999962,
,,,0.155053106981,0.40201011300087,-0.403266414999962,
,,,0.155161607198,0.40201011300087,-0.403266414999962,
,,,0.155270107415,0,-0.604271441698074,
,,,0.155378607632,0.40201011300087,-0.403266414999962,
,,,0.155487107849,0,-0.403266414999962,
,,,0.155595608066,0.40201011300087,-0.604271441698074,
,,,0.155704108283,0.40201011300087,-0.403266414999962,
,,,0.1558126085,0,-0.604271441698074,
,,,0.155921108717,-0.40201011300087,-0.403266414999962,
,,,0.156029608934,0,-0.604271441698074,
,,,0.156138109151,0,-0.604271441698074,
,,,0.156246609368,0,-0.604271441698074,
,,,0.156355109585,0,-0.403266414999962,
,,,0.156463609802,0,-0.202261388301849,
,,,0.156572110019,0,-0.403266414999962,
,,,0.156680610236,0,-0.403266414999962,
,,,0.156789110453,-0.40201011300087,-0.403266414999962,
,,,0.15689761067,0.40201011300087,-0.403266414999962,
,,,0.157006110887,0,-0.604271441698074,
,,,0.157114611104,0.40201011300087,-0.403266414999962,
,,,0.157223111321,0,-0.403266414999962,
,,,0.157331611538,0,-0.403266414999962,
